grid_id,休闲POI_密度,办公POI_密度,公共服务POI_密度,交通设施POI_密度,居住POI_密度,总POI密度
84.0,20.0,60.0,92.0,24.0,12.0,208.0
85.0,156.0,28.0,116.0,16.0,0.0,316.0
86.0,244.0,44.0,128.0,52.0,8.0,476.0
87.0,0.0,88.0,20.0,20.0,0.0,128.0
88.0,0.0,24.0,32.0,32.0,12.0,100.0
89.0,56.0,96.0,68.0,76.0,20.0,316.0
90.0,68.0,16.0,40.0,28.0,8.0,160.0
91.0,0.0,12.0,0.0,4.0,4.0,20.0
92.0,0.0,12.0,4.0,16.0,0.0,32.0
93.0,8.0,4.0,0.0,0.0,0.0,12.0
94.0,0.0,0.0,0.0,8.0,0.0,8.0
95.0,0.0,0.0,4.0,0.0,0.0,4.0
96.0,8.0,8.0,4.0,36.0,0.0,56.0
97.0,112.0,188.0,80.0,48.0,32.0,460.0
98.0,116.0,36.0,52.0,40.0,12.0,256.0
99.0,8.0,0.0,12.0,28.0,8.0,56.0
100.0,20.0,4.0,36.0,36.0,8.0,104.0
101.0,0.0,8.0,0.0,8.0,20.0,36.0
102.0,24.0,24.0,8.0,20.0,8.0,84.0
103.0,100.0,28.0,44.0,36.0,32.0,240.0
104.0,44.0,60.0,68.0,20.0,8.0,200.0
105.0,224.0,36.0,168.0,104.0,36.0,568.0
106.0,184.0,104.0,72.0,24.0,8.0,392.0
107.0,4.0,24.0,32.0,12.0,0.0,72.0
108.0,264.0,72.0,184.0,60.0,32.0,612.0
109.0,384.0,124.0,252.0,48.0,60.0,868.0
110.0,364.0,116.0,208.0,32.0,32.0,752.0
111.0,68.0,4.0,20.0,0.0,12.0,104.0
112.0,204.0,48.0,144.0,84.0,48.0,528.0
113.0,2872.0,348.0,1324.0,272.0,832.0,5648.0
114.0,588.0,152.0,352.0,136.0,76.0,1304.0
115.0,12.0,8.0,0.0,20.0,12.0,52.0
116.0,0.0,36.0,12.0,0.0,0.0,48.0
117.0,92.0,100.0,128.0,36.0,4.0,360.0
118.0,4.0,24.0,8.0,4.0,0.0,40.0
119.0,44.0,28.0,32.0,0.0,4.0,108.0
120.0,104.0,92.0,144.0,48.0,36.0,424.0
121.0,4.0,44.0,40.0,16.0,0.0,104.0
122.0,8.0,84.0,32.0,16.0,4.0,144.0
123.0,300.0,96.0,244.0,24.0,40.0,704.0
124.0,20.0,48.0,48.0,24.0,0.0,140.0
125.0,0.0,4.0,0.0,8.0,0.0,12.0
126.0,4.0,8.0,4.0,24.0,0.0,40.0
127.0,0.0,4.0,0.0,0.0,0.0,4.0
128.0,0.0,0.0,4.0,0.0,0.0,4.0
129.0,4.0,4.0,16.0,0.0,4.0,28.0
130.0,244.0,12.0,72.0,76.0,44.0,448.0
131.0,0.0,8.0,0.0,8.0,0.0,16.0
132.0,208.0,164.0,24.0,84.0,28.0,508.0
133.0,108.0,360.0,80.0,96.0,56.0,700.0
134.0,64.0,88.0,36.0,52.0,32.0,272.0
135.0,60.0,20.0,72.0,64.0,24.0,240.0
136.0,12.0,4.0,16.0,44.0,8.0,84.0
137.0,12.0,4.0,4.0,24.0,12.0,56.0
138.0,116.0,16.0,84.0,32.0,16.0,264.0
139.0,192.0,216.0,168.0,96.0,44.0,716.0
140.0,32.0,4.0,8.0,12.0,24.0,80.0
141.0,0.0,28.0,16.0,8.0,4.0,56.0
142.0,12.0,24.0,12.0,28.0,12.0,88.0
143.0,180.0,4.0,120.0,32.0,48.0,384.0
144.0,96.0,40.0,4.0,44.0,0.0,184.0
145.0,732.0,80.0,120.0,48.0,8.0,988.0
146.0,92.0,64.0,168.0,84.0,36.0,444.0
147.0,276.0,68.0,208.0,48.0,12.0,612.0
148.0,364.0,80.0,164.0,36.0,20.0,664.0
149.0,420.0,36.0,276.0,76.0,84.0,892.0
150.0,388.0,52.0,196.0,60.0,52.0,748.0
151.0,88.0,4.0,60.0,40.0,40.0,232.0
152.0,12.0,12.0,12.0,16.0,8.0,60.0
153.0,4.0,4.0,8.0,4.0,12.0,32.0
154.0,184.0,84.0,140.0,28.0,28.0,464.0
155.0,8.0,60.0,16.0,16.0,12.0,112.0
156.0,0.0,4.0,12.0,0.0,0.0,16.0
157.0,44.0,68.0,108.0,36.0,16.0,272.0
159.0,4.0,36.0,16.0,4.0,0.0,60.0
160.0,60.0,84.0,176.0,28.0,12.0,360.0
161.0,4.0,8.0,24.0,0.0,0.0,36.0
162.0,8.0,16.0,8.0,0.0,8.0,40.0
163.0,0.0,8.0,0.0,0.0,0.0,8.0
164.0,0.0,4.0,0.0,4.0,0.0,8.0
165.0,0.0,4.0,0.0,8.0,0.0,12.0
166.0,0.0,0.0,0.0,24.0,0.0,24.0
167.0,364.0,32.0,276.0,144.0,80.0,896.0
168.0,536.0,40.0,236.0,128.0,92.0,1032.0
169.0,0.0,4.0,16.0,12.0,8.0,40.0
170.0,0.0,4.0,8.0,12.0,0.0,24.0
171.0,0.0,0.0,0.0,8.0,0.0,8.0
172.0,4.0,4.0,0.0,12.0,4.0,24.0
173.0,112.0,8.0,88.0,32.0,28.0,268.0
174.0,336.0,36.0,292.0,100.0,20.0,784.0
175.0,68.0,32.0,92.0,64.0,32.0,288.0
176.0,56.0,8.0,16.0,24.0,8.0,112.0
177.0,424.0,32.0,260.0,92.0,16.0,824.0
178.0,772.0,124.0,204.0,100.0,16.0,1216.0
179.0,1608.0,216.0,144.0,68.0,20.0,2056.0
180.0,540.0,160.0,152.0,72.0,64.0,988.0
181.0,116.0,76.0,116.0,68.0,28.0,404.0
182.0,8.0,4.0,16.0,8.0,8.0,44.0
183.0,72.0,28.0,40.0,8.0,0.0,148.0
184.0,80.0,28.0,72.0,40.0,20.0,240.0
185.0,144.0,0.0,104.0,60.0,32.0,340.0
186.0,260.0,12.0,108.0,44.0,12.0,436.0
187.0,84.0,16.0,40.0,36.0,12.0,188.0
188.0,144.0,16.0,140.0,76.0,16.0,392.0
189.0,72.0,52.0,48.0,36.0,24.0,232.0
190.0,724.0,60.0,352.0,108.0,76.0,1320.0
191.0,760.0,36.0,180.0,124.0,72.0,1172.0
192.0,796.0,92.0,372.0,112.0,80.0,1452.0
193.0,292.0,40.0,148.0,48.0,56.0,584.0
194.0,88.0,24.0,68.0,52.0,4.0,236.0
195.0,272.0,56.0,192.0,64.0,20.0,604.0
196.0,44.0,88.0,60.0,76.0,8.0,276.0
197.0,352.0,32.0,140.0,80.0,32.0,636.0
198.0,232.0,68.0,196.0,76.0,36.0,608.0
200.0,44.0,8.0,12.0,0.0,28.0,92.0
202.0,0.0,12.0,8.0,0.0,4.0,24.0
203.0,0.0,12.0,8.0,28.0,0.0,48.0
204.0,0.0,4.0,0.0,12.0,4.0,20.0
205.0,28.0,132.0,24.0,96.0,36.0,316.0
206.0,4.0,20.0,16.0,40.0,4.0,84.0
207.0,708.0,64.0,352.0,80.0,104.0,1308.0
208.0,912.0,152.0,664.0,156.0,112.0,1996.0
209.0,144.0,24.0,116.0,128.0,28.0,440.0
210.0,8.0,4.0,20.0,20.0,4.0,56.0
211.0,0.0,8.0,4.0,16.0,16.0,44.0
212.0,0.0,4.0,4.0,16.0,4.0,28.0
213.0,0.0,0.0,0.0,4.0,0.0,4.0
214.0,100.0,12.0,84.0,52.0,16.0,264.0
215.0,124.0,12.0,60.0,56.0,12.0,264.0
216.0,8.0,12.0,28.0,28.0,0.0,76.0
217.0,0.0,8.0,20.0,20.0,12.0,60.0
218.0,332.0,40.0,216.0,52.0,24.0,664.0
219.0,260.0,40.0,84.0,52.0,12.0,448.0
220.0,52.0,44.0,16.0,60.0,4.0,176.0
221.0,236.0,52.0,104.0,60.0,52.0,504.0
222.0,100.0,4.0,64.0,40.0,24.0,232.0
223.0,352.0,28.0,228.0,156.0,24.0,788.0
224.0,1312.0,256.0,416.0,116.0,52.0,2152.0
225.0,128.0,16.0,64.0,36.0,32.0,276.0
226.0,476.0,100.0,212.0,36.0,76.0,900.0
227.0,160.0,148.0,120.0,76.0,28.0,532.0
228.0,132.0,72.0,168.0,88.0,40.0,500.0
229.0,8.0,28.0,20.0,8.0,8.0,72.0
230.0,52.0,24.0,60.0,40.0,28.0,204.0
231.0,32.0,16.0,60.0,32.0,4.0,144.0
232.0,44.0,44.0,92.0,36.0,16.0,232.0
233.0,120.0,40.0,56.0,56.0,16.0,288.0
234.0,268.0,100.0,20.0,12.0,8.0,408.0
235.0,120.0,40.0,100.0,64.0,28.0,352.0
236.0,76.0,80.0,84.0,104.0,16.0,360.0
237.0,272.0,64.0,136.0,72.0,32.0,576.0
238.0,44.0,20.0,20.0,8.0,4.0,96.0
239.0,40.0,24.0,24.0,28.0,0.0,116.0
240.0,4.0,20.0,20.0,0.0,4.0,48.0
241.0,44.0,16.0,48.0,36.0,8.0,152.0
242.0,0.0,8.0,4.0,0.0,0.0,12.0
243.0,0.0,8.0,0.0,4.0,4.0,16.0
244.0,8.0,8.0,4.0,8.0,4.0,32.0
246.0,116.0,72.0,60.0,84.0,12.0,344.0
247.0,0.0,156.0,8.0,84.0,12.0,260.0
248.0,52.0,184.0,84.0,92.0,56.0,468.0
249.0,352.0,280.0,84.0,292.0,80.0,1088.0
250.0,36.0,160.0,92.0,176.0,52.0,516.0
251.0,84.0,124.0,52.0,144.0,44.0,448.0
252.0,4.0,12.0,8.0,20.0,4.0,48.0
253.0,4.0,8.0,16.0,24.0,4.0,56.0
254.0,8.0,8.0,0.0,24.0,8.0,48.0
255.0,12.0,4.0,0.0,12.0,12.0,40.0
256.0,8.0,0.0,20.0,4.0,0.0,32.0
257.0,0.0,0.0,8.0,12.0,4.0,24.0
258.0,20.0,16.0,60.0,48.0,12.0,156.0
259.0,96.0,20.0,56.0,44.0,24.0,240.0
260.0,308.0,52.0,268.0,92.0,48.0,768.0
261.0,4.0,8.0,16.0,20.0,8.0,56.0
262.0,360.0,32.0,28.0,28.0,4.0,452.0
263.0,340.0,36.0,76.0,44.0,12.0,508.0
264.0,232.0,24.0,72.0,12.0,8.0,348.0
265.0,768.0,96.0,284.0,88.0,68.0,1304.0
266.0,340.0,52.0,232.0,120.0,64.0,808.0
267.0,84.0,56.0,52.0,40.0,28.0,260.0
268.0,292.0,96.0,144.0,92.0,44.0,668.0
269.0,408.0,64.0,616.0,132.0,104.0,1324.0
270.0,344.0,260.0,1616.0,32.0,8.0,2260.0
272.0,4.0,0.0,0.0,0.0,0.0,4.0
273.0,0.0,4.0,4.0,0.0,0.0,8.0
274.0,0.0,0.0,0.0,4.0,0.0,4.0
276.0,8.0,16.0,20.0,4.0,4.0,52.0
277.0,52.0,24.0,72.0,68.0,40.0,256.0
278.0,16.0,16.0,28.0,16.0,0.0,76.0
279.0,60.0,88.0,52.0,32.0,0.0,232.0
280.0,112.0,64.0,56.0,12.0,4.0,248.0
281.0,16.0,44.0,20.0,24.0,12.0,116.0
282.0,8.0,8.0,28.0,24.0,0.0,68.0
283.0,404.0,56.0,44.0,48.0,4.0,556.0
284.0,4.0,4.0,8.0,0.0,0.0,16.0
285.0,20.0,4.0,12.0,12.0,8.0,56.0
286.0,0.0,24.0,8.0,28.0,12.0,72.0
287.0,0.0,56.0,8.0,4.0,0.0,68.0
288.0,500.0,48.0,232.0,80.0,108.0,968.0
289.0,4.0,8.0,12.0,24.0,0.0,48.0
290.0,16.0,96.0,20.0,60.0,28.0,220.0
291.0,388.0,508.0,176.0,148.0,64.0,1284.0
292.0,100.0,76.0,120.0,120.0,16.0,432.0
293.0,52.0,180.0,44.0,92.0,16.0,384.0
294.0,60.0,28.0,44.0,72.0,12.0,216.0
295.0,52.0,4.0,76.0,32.0,12.0,176.0
296.0,176.0,20.0,100.0,116.0,12.0,424.0
297.0,44.0,8.0,24.0,44.0,4.0,124.0
298.0,24.0,12.0,32.0,56.0,8.0,132.0
299.0,8.0,12.0,8.0,12.0,8.0,48.0
300.0,60.0,12.0,28.0,24.0,48.0,172.0
301.0,8.0,8.0,4.0,8.0,4.0,32.0
302.0,104.0,32.0,120.0,108.0,8.0,372.0
303.0,56.0,4.0,68.0,40.0,8.0,176.0
304.0,188.0,36.0,76.0,120.0,8.0,428.0
305.0,272.0,40.0,84.0,72.0,24.0,492.0
306.0,156.0,20.0,132.0,92.0,12.0,412.0
307.0,244.0,28.0,176.0,64.0,44.0,556.0
308.0,212.0,4.0,88.0,64.0,20.0,388.0
309.0,44.0,24.0,48.0,48.0,12.0,176.0
310.0,188.0,200.0,212.0,172.0,24.0,796.0
311.0,1028.0,56.0,544.0,144.0,40.0,1812.0
312.0,128.0,60.0,424.0,88.0,8.0,708.0
315.0,4.0,0.0,0.0,0.0,0.0,4.0
316.0,0.0,0.0,4.0,0.0,0.0,4.0
317.0,0.0,20.0,12.0,0.0,0.0,32.0
318.0,4.0,68.0,16.0,20.0,4.0,112.0
319.0,96.0,24.0,264.0,12.0,24.0,420.0
320.0,12.0,52.0,12.0,8.0,0.0,84.0
321.0,4.0,16.0,8.0,8.0,0.0,36.0
322.0,100.0,20.0,96.0,36.0,28.0,280.0
323.0,4.0,4.0,0.0,0.0,0.0,8.0
325.0,12.0,12.0,0.0,20.0,0.0,44.0
326.0,4.0,4.0,48.0,0.0,4.0,60.0
327.0,0.0,28.0,4.0,40.0,0.0,72.0
328.0,16.0,72.0,32.0,24.0,16.0,160.0
329.0,104.0,224.0,48.0,76.0,56.0,508.0
330.0,40.0,148.0,28.0,72.0,48.0,336.0
331.0,196.0,20.0,52.0,52.0,36.0,356.0
332.0,4.0,20.0,4.0,28.0,0.0,56.0
333.0,124.0,244.0,112.0,236.0,76.0,792.0
334.0,116.0,212.0,136.0,164.0,56.0,684.0
335.0,412.0,28.0,296.0,128.0,28.0,892.0
336.0,100.0,24.0,116.0,68.0,20.0,328.0
337.0,348.0,68.0,240.0,144.0,32.0,832.0
338.0,268.0,20.0,184.0,64.0,16.0,552.0
339.0,364.0,0.0,192.0,100.0,20.0,676.0
340.0,244.0,32.0,180.0,100.0,40.0,596.0
341.0,144.0,12.0,36.0,60.0,4.0,256.0
342.0,196.0,20.0,92.0,56.0,40.0,404.0
343.0,88.0,36.0,136.0,68.0,16.0,344.0
344.0,128.0,44.0,92.0,44.0,16.0,324.0
345.0,672.0,88.0,392.0,148.0,28.0,1328.0
346.0,724.0,56.0,408.0,76.0,116.0,1380.0
347.0,336.0,52.0,232.0,80.0,32.0,732.0
348.0,192.0,76.0,168.0,84.0,48.0,568.0
349.0,116.0,28.0,96.0,48.0,16.0,304.0
350.0,64.0,32.0,32.0,60.0,8.0,196.0
351.0,680.0,72.0,352.0,204.0,60.0,1368.0
352.0,496.0,96.0,184.0,140.0,40.0,956.0
353.0,76.0,220.0,88.0,76.0,44.0,504.0
354.0,128.0,20.0,104.0,60.0,12.0,324.0
355.0,8.0,36.0,28.0,40.0,8.0,120.0
357.0,0.0,0.0,4.0,0.0,0.0,4.0
360.0,8.0,8.0,8.0,0.0,0.0,24.0
361.0,8.0,24.0,12.0,12.0,0.0,56.0
362.0,164.0,52.0,252.0,40.0,16.0,524.0
363.0,60.0,52.0,64.0,36.0,16.0,228.0
364.0,44.0,44.0,40.0,24.0,20.0,172.0
365.0,256.0,56.0,196.0,24.0,32.0,564.0
366.0,16.0,60.0,12.0,16.0,0.0,104.0
367.0,4.0,4.0,4.0,8.0,0.0,20.0
368.0,148.0,60.0,140.0,48.0,8.0,404.0
369.0,108.0,32.0,284.0,44.0,12.0,480.0
370.0,8.0,52.0,16.0,24.0,12.0,112.0
371.0,144.0,28.0,24.0,76.0,32.0,304.0
372.0,68.0,80.0,20.0,16.0,32.0,216.0
373.0,52.0,28.0,24.0,0.0,0.0,104.0
374.0,0.0,4.0,0.0,16.0,0.0,20.0
375.0,24.0,32.0,68.0,60.0,4.0,188.0
376.0,0.0,32.0,0.0,28.0,0.0,60.0
377.0,652.0,792.0,224.0,468.0,212.0,2348.0
378.0,636.0,140.0,428.0,176.0,56.0,1436.0
379.0,4.0,0.0,4.0,4.0,40.0,52.0
380.0,44.0,8.0,36.0,48.0,32.0,168.0
381.0,668.0,96.0,308.0,128.0,64.0,1264.0
382.0,168.0,52.0,164.0,72.0,44.0,500.0
383.0,156.0,200.0,88.0,116.0,32.0,592.0
384.0,432.0,184.0,476.0,216.0,96.0,1404.0
385.0,624.0,200.0,192.0,260.0,68.0,1344.0
386.0,556.0,84.0,180.0,256.0,140.0,1216.0
387.0,1916.0,116.0,1128.0,276.0,512.0,3948.0
388.0,448.0,40.0,472.0,172.0,124.0,1256.0
389.0,704.0,100.0,324.0,148.0,40.0,1316.0
390.0,524.0,44.0,224.0,172.0,52.0,1016.0
391.0,192.0,36.0,168.0,116.0,68.0,580.0
392.0,672.0,112.0,380.0,96.0,40.0,1300.0
393.0,408.0,180.0,300.0,188.0,92.0,1168.0
394.0,432.0,124.0,308.0,120.0,40.0,1024.0
395.0,196.0,144.0,172.0,80.0,60.0,652.0
396.0,440.0,80.0,292.0,100.0,156.0,1068.0
397.0,140.0,100.0,176.0,60.0,32.0,508.0
398.0,396.0,88.0,72.0,116.0,60.0,732.0
399.0,476.0,32.0,20.0,12.0,0.0,540.0
401.0,0.0,8.0,0.0,4.0,0.0,12.0
402.0,0.0,4.0,0.0,0.0,0.0,4.0
403.0,0.0,0.0,0.0,4.0,0.0,4.0
404.0,12.0,4.0,8.0,16.0,4.0,44.0
405.0,120.0,60.0,36.0,8.0,8.0,232.0
406.0,336.0,88.0,320.0,36.0,44.0,824.0
407.0,72.0,52.0,132.0,12.0,20.0,288.0
408.0,20.0,44.0,192.0,20.0,0.0,276.0
409.0,8.0,60.0,24.0,8.0,0.0,100.0
410.0,96.0,36.0,48.0,12.0,12.0,204.0
411.0,4.0,52.0,16.0,4.0,0.0,76.0
412.0,24.0,12.0,44.0,12.0,0.0,92.0
413.0,344.0,36.0,48.0,12.0,4.0,444.0
414.0,100.0,28.0,8.0,4.0,4.0,144.0
415.0,288.0,20.0,76.0,36.0,40.0,460.0
416.0,16.0,8.0,4.0,20.0,4.0,52.0
417.0,8.0,8.0,0.0,8.0,8.0,32.0
418.0,0.0,20.0,8.0,24.0,0.0,52.0
419.0,0.0,0.0,8.0,4.0,0.0,12.0
420.0,236.0,224.0,224.0,236.0,36.0,956.0
421.0,104.0,92.0,28.0,96.0,40.0,360.0
422.0,328.0,464.0,216.0,196.0,116.0,1320.0
423.0,1296.0,272.0,360.0,232.0,84.0,2244.0
424.0,20.0,4.0,8.0,44.0,20.0,96.0
425.0,64.0,36.0,40.0,76.0,12.0,228.0
426.0,140.0,72.0,136.0,172.0,32.0,552.0
427.0,100.0,432.0,48.0,296.0,48.0,924.0
428.0,776.0,148.0,488.0,152.0,112.0,1676.0
429.0,72.0,376.0,48.0,264.0,120.0,880.0
430.0,268.0,408.0,240.0,288.0,128.0,1332.0
431.0,1024.0,340.0,332.0,188.0,200.0,2084.0
432.0,808.0,152.0,532.0,204.0,120.0,1816.0
433.0,740.0,68.0,628.0,260.0,92.0,1788.0
434.0,704.0,52.0,444.0,200.0,80.0,1480.0
435.0,712.0,80.0,236.0,148.0,92.0,1268.0
436.0,184.0,24.0,96.0,52.0,40.0,396.0
437.0,656.0,24.0,136.0,124.0,76.0,1016.0
438.0,248.0,48.0,84.0,84.0,36.0,500.0
439.0,44.0,68.0,76.0,48.0,32.0,268.0
440.0,216.0,68.0,124.0,140.0,56.0,604.0
441.0,0.0,0.0,0.0,0.0,4.0,4.0
442.0,0.0,72.0,20.0,8.0,0.0,100.0
443.0,604.0,272.0,276.0,68.0,100.0,1320.0
444.0,1204.0,80.0,180.0,76.0,28.0,1568.0
446.0,24.0,0.0,4.0,16.0,0.0,44.0
447.0,12.0,8.0,4.0,0.0,0.0,24.0
449.0,0.0,8.0,0.0,24.0,0.0,32.0
450.0,4.0,52.0,8.0,12.0,0.0,76.0
451.0,16.0,88.0,96.0,32.0,0.0,232.0
452.0,20.0,76.0,8.0,0.0,0.0,104.0
453.0,36.0,48.0,16.0,16.0,0.0,116.0
454.0,8.0,4.0,0.0,0.0,0.0,12.0
455.0,28.0,32.0,40.0,0.0,0.0,100.0
456.0,28.0,28.0,16.0,16.0,0.0,88.0
457.0,0.0,4.0,4.0,8.0,0.0,16.0
458.0,80.0,20.0,20.0,32.0,0.0,152.0
459.0,16.0,12.0,0.0,4.0,8.0,40.0
460.0,0.0,8.0,12.0,8.0,0.0,28.0
461.0,140.0,16.0,56.0,32.0,108.0,352.0
462.0,0.0,0.0,4.0,4.0,0.0,8.0
463.0,16.0,0.0,8.0,20.0,4.0,48.0
464.0,12.0,4.0,4.0,12.0,0.0,32.0
466.0,1084.0,240.0,588.0,96.0,120.0,2128.0
467.0,804.0,672.0,176.0,160.0,52.0,1864.0
468.0,220.0,784.0,152.0,132.0,92.0,1380.0
469.0,260.0,612.0,268.0,324.0,68.0,1532.0
470.0,360.0,1384.0,316.0,368.0,116.0,2544.0
471.0,88.0,16.0,8.0,60.0,12.0,184.0
472.0,56.0,88.0,56.0,128.0,36.0,364.0
473.0,360.0,204.0,180.0,364.0,116.0,1224.0
474.0,224.0,660.0,148.0,248.0,76.0,1356.0
475.0,720.0,96.0,384.0,124.0,84.0,1408.0
476.0,500.0,1128.0,308.0,344.0,252.0,2532.0
477.0,412.0,692.0,172.0,180.0,192.0,1648.0
478.0,188.0,176.0,164.0,128.0,100.0,756.0
479.0,156.0,24.0,224.0,152.0,52.0,608.0
480.0,488.0,24.0,304.0,172.0,88.0,1076.0
481.0,340.0,28.0,384.0,248.0,64.0,1064.0
482.0,496.0,136.0,208.0,148.0,80.0,1068.0
483.0,192.0,72.0,144.0,128.0,36.0,572.0
484.0,728.0,36.0,268.0,140.0,64.0,1236.0
485.0,1024.0,64.0,416.0,148.0,52.0,1704.0
486.0,64.0,124.0,156.0,76.0,24.0,444.0
487.0,96.0,52.0,92.0,36.0,28.0,304.0
488.0,112.0,92.0,64.0,44.0,8.0,320.0
489.0,124.0,72.0,84.0,32.0,24.0,336.0
490.0,256.0,56.0,140.0,100.0,76.0,628.0
491.0,8.0,8.0,8.0,20.0,8.0,52.0
493.0,12.0,0.0,0.0,0.0,0.0,12.0
494.0,20.0,8.0,0.0,4.0,0.0,32.0
496.0,8.0,8.0,4.0,8.0,0.0,28.0
497.0,4.0,0.0,0.0,0.0,0.0,4.0
498.0,60.0,44.0,100.0,12.0,0.0,216.0
499.0,24.0,84.0,12.0,12.0,4.0,136.0
500.0,4.0,8.0,0.0,4.0,0.0,16.0
501.0,0.0,24.0,4.0,4.0,0.0,32.0
502.0,276.0,56.0,56.0,20.0,0.0,408.0
503.0,20.0,20.0,20.0,4.0,4.0,68.0
505.0,0.0,0.0,24.0,4.0,0.0,28.0
506.0,0.0,4.0,0.0,0.0,4.0,8.0
507.0,12.0,12.0,32.0,36.0,4.0,96.0
508.0,36.0,0.0,24.0,28.0,24.0,112.0
509.0,12.0,24.0,28.0,12.0,8.0,84.0
510.0,4.0,24.0,4.0,16.0,0.0,48.0
511.0,8.0,0.0,8.0,12.0,0.0,28.0
512.0,4.0,0.0,0.0,0.0,0.0,4.0
513.0,8.0,24.0,8.0,36.0,8.0,84.0
514.0,564.0,44.0,352.0,108.0,248.0,1316.0
515.0,348.0,36.0,212.0,56.0,28.0,680.0
